Store,Date,pred
15,2012-11-09,604947.0520747359
15,2012-11-16,615686.898623395
15,2012-11-23,1005579.1611434141
15,2012-11-30,670621.0852015412
15,2012-12-07,734893.7352975425
15,2012-12-14,818630.9291171156
15,2012-12-21,1060981.2190413894
15,2012-12-28,621929.8904048854
15,2013-01-04,508457.2792307893
15,2013-01-11,454564.6291376393
15,2013-01-18,460028.4115982482
16,2012-11-02,525045.02586307
16,2012-11-09,516047.4100522004
16,2012-11-16,500460.9273704085
16,2012-11-23,732368.2485194575
16,2012-11-30,548515.1677713778
16,2012-12-07,585896.543346285
16,2012-12-14,682332.8005718858
16,2012-12-21,937446.1568976565
16,2012-12-28,691886.7139992593
16,2013-01-04,569567.2600118885
16,2013-01-11,494914.69214906334
16,2013-01-18,472729.16061447025
17,2012-11-02,966259.5537215978
17,2012-11-09,978100.5303706998
17,2012-11-16,907665.1253175042
17,2012-11-23,1305091.0592116255
17,2012-11-30,981699.2572973698
17,2012-12-07,1026753.288181724
17,2012-12-14,1118279.6666085215
17,2012-12-21,1407772.8902830295
17,2012-12-28,904289.43607509
17,2013-01-04,1200463.7850271345
17,2013-01-11,945183.5683851338
17,2013-01-18,879414.8060793814
18,2012-11-02,1160675.8876988
18,2012-11-09,1094328.1185681967
18,2012-11-16,1092838.2903494798
18,2012-11-23,1613950.9124643244
18,2012-11-30,1228301.1046373069
18,2012-12-07,1369306.28472042
18,2012-12-14,1467771.3480986608
18,2012-12-21,1728896.3961311218
18,2012-12-28,1114738.8864607264
18,2013-01-04,978800.1608493722
18,2013-01-11,892252.7029444714
18,2013-01-18,933660.3190770865
19,2012-11-02,1461466.1423147726
19,2012-11-09,1466232.3316429278
19,2012-11-16,1437673.7940518025
19,2012-11-23,1935729.2117905007
19,2012-11-30,1492210.263565751
19,2012-12-07,1685780.076078464
19,2012-12-14,1884260.042056769
19,2012-12-21,2319181.1468488555
19,2012-12-28,1509471.3305688254
19,2013-01-04,1271295.9070704144
19,2013-01-11,1180417.048082293
19,2013-01-18,1183755.825297539
20,2012-11-02,2331386.9804598885
20,2012-11-09,2249149.417534091
20,2012-11-16,2244731.5675369245
20,2012-11-23,2908421.2935424927
20,2012-11-30,2358738.9050683286
20,2012-12-07,2541424.849289616
20,2012-12-14,2785236.5108955847
20,2012-12-21,3480573.349902263
20,2012-12-28,2192659.992505634
20,2013-01-04,2016395.1823245569
20,2013-01-11,1919073.2598159295
20,2013-01-18,1848562.4233449043
21,2012-11-02,737516.2527452086
21,2012-11-09,713346.9957797874
21,2012-11-16,736462.014281336
21,2012-11-23,1130301.861320428
21,2012-11-30,766239.1391779837
21,2012-12-07,847457.5533205647
21,2012-12-14,972008.6177819826
21,2012-12-21,1258198.3120073895
21,2012-12-28,824039.5654263013
21,2013-01-04,648999.3991932374
21,2013-01-11,616464.0464778427
21,2013-01-18,621843.4801194296
22,2012-11-02,1116040.2338515942
22,2012-11-09,1052435.7267967998
22,2012-11-16,1039042.3694420466
22,2012-11-23,1461074.136952776
22,2012-11-30,1165114.3268859729
22,2012-12-07,1294996.4854647405
22,2012-12-14,1386980.675880332
22,2012-12-21,1780995.6535175988
22,2012-12-28,1083789.229903603
22,2013-01-04,910897.2284324924
22,2013-01-11,853489.919100561
22,2013-01-18,866120.0614273876
23,2012-11-02,1478839.4816607551
23,2012-11-09,1459516.6430802383
23,2012-11-16,1438500.7334785678
23,2012-11-23,2020183.4409772626
23,2012-11-30,1619423.7143433082
23,2012-12-07,1850884.7767480535
23,2012-12-14,2153518.8572584465
23,2012-12-21,2491669.75892556
23,2012-12-28,1391096.6575815417
23,2013-01-04,1237735.633055247
23,2013-01-11,1087188.4768517602
23,2013-01-18,1158122.8926251489
24,2012-11-02,1394470.7991144361
24,2012-11-09,1418745.7641894266
24,2012-11-16,1365494.767372683
24,2012-11-23,1787100.1062973216
24,2012-11-30,1393724.3396188265
24,2012-12-07,1548801.2736947795
24,2012-12-14,1647331.7679517989
24,2012-12-21,2036616.865792525
24,2012-12-28,1434451.4681737209
24,2013-01-04,1253061.2306744482
24,2013-01-11,1157858.9818192332
24,2013-01-18,1169742.4340171656
25,2012-11-02,748856.9640907487
25,2012-11-09,750025.9254920197
25,2012-11-16,768970.5335617425
25,2012-11-23,1158027.1403231004
25,2012-11-30,883278.3802504048
25,2012-12-07,919215.0292450231
25,2012-12-14,971277.042756493
25,2012-12-21,1236405.8759386293
25,2012-12-28,751206.9034262775
25,2013-01-04,640184.5678904313
25,2013-01-11,607386.633408751
25,2013-01-18,594668.201528253
26,2012-11-02,1037325.2375742637
26,2012-11-09,1079502.0232716622
26,2012-11-16,1022124.1537780096
26,2012-11-23,1326728.76875874
26,2012-11-30,1049374.0856561724
26,2012-12-07,1185761.0396229855
26,2012-12-14,1206041.5833554277
26,2012-12-21,1470780.0824366473
26,2012-12-28,1022513.5926526804
26,2013-01-04,972857.6942025977
26,2013-01-11,885464.1023312607
26,2013-01-18,873269.7063992532
27,2012-11-02,1648724.7763424523
27,2012-11-09,1703707.969540947
27,2012-11-16,1720691.6696408342
27,2012-11-23,2405201.785594289
27,2012-11-30,1791014.6811615832
27,2012-12-07,1947396.1204083497
27,2012-12-14,2172257.8401169805
27,2012-12-21,2593572.61082611
27,2012-12-28,1688216.9367838644
27,2013-01-04,1516851.6927306657
27,2013-01-11,1458657.5040932735
27,2013-01-18,1475890.962584196
28,2012-11-02,1505425.4671231464
28,2012-11-09,1400768.514898007
28,2012-11-16,1282489.573510595
28,2012-11-23,1910478.823343513
28,2012-11-30,1344647.4995422037
28,2012-12-07,1532782.9630521752
28,2012-12-14,1467608.2052978054
28,2012-12-21,1744609.733455677
28,2012-12-28,1266573.547911954
28,2013-01-04,1529151.8650549166
28,2013-01-11,1176625.7602916136
28,2013-01-18,1115659.646232464
29,2012-11-02,584835.8111485938
29,2012-11-09,536257.7549334563
29,2012-11-16,533129.4415818338
29,2012-11-23,891196.3903671048
29,2012-11-30,615715.4465214802
29,2012-12-07,665776.3240636763
29,2012-12-14,724882.1797536982
29,2012-12-21,960657.6563815437
29,2012-12-28,571712.830557773
29,2013-01-04,472491.70915542694
29,2013-01-11,433993.05618674384
29,2013-01-18,435277.37840655673
30,2012-11-02,449850.0029544484
30,2012-11-09,434977.06093620934
30,2012-11-16,444423.17207570135
30,2012-11-23,468653.2892272519
30,2012-11-30,410464.332483314
30,2012-12-07,444458.08205711504
30,2012-12-14,447831.16382848984
30,2012-12-21,501200.0861309334
30,2012-12-28,382166.535312813
30,2013-01-04,451498.836904762
30,2013-01-11,441136.8738048661
30,2013-01-18,435614.2245628785
31,2012-11-02,1432856.441659019
31,2012-11-09,1444887.4533462382
31,2012-11-16,1454061.6174092912
31,2012-11-23,1891894.6063321803
31,2012-11-30,1445936.3093156402
31,2012-12-07,1552744.7827052597
31,2012-12-14,1616945.6844244997
31,2012-12-21,1950736.927315155
31,2012-12-28,1417383.70315251
31,2013-01-04,1427835.8626455346
31,2013-01-11,1393440.8595206372
31,2013-01-18,1363437.3402725318
32,2012-11-02,1221436.2648198046
32,2012-11-09,1246161.4597273488
32,2012-11-16,1248925.7887775828
32,2012-11-23,1721053.1496799737
32,2012-11-30,1299809.3759808396
32,2012-12-07,1410872.6726052521
32,2012-12-14,1537742.1864641581
32,2012-12-21,1869693.7794731772
32,2012-12-28,1188095.5453498114
32,2013-01-04,1127177.3908105858
32,2013-01-11,1088799.2894285165
32,2013-01-18,1098476.7701580494
33,2012-11-02,259519.55055978976
33,2012-11-09,278362.8853762023
33,2012-11-16,263257.3698845977
33,2012-11-23,268422.1228841946
33,2012-11-30,242159.50424069134
33,2012-12-07,275219.9508660027
33,2012-12-14,284183.0943611088
33,2012-12-21,295128.4100251624
33,2012-12-28,225531.17446020228
33,2013-01-04,277751.79589808686
33,2013-01-11,275618.04836725857
33,2013-01-18,259653.67224115203
34,2012-11-02,1009697.0250212029
34,2012-11-09,1016429.9303829712
34,2012-11-16,1013461.2983434072
34,2012-11-23,1331045.7231177909
34,2012-11-30,1011133.912745448
34,2012-12-07,1095637.0420059096
34,2012-12-14,1167993.7206850853
34,2012-12-21,1534313.974351716
34,2012-12-28,1035504.1250087409
34,2013-01-04,969815.107260805
34,2013-01-11,923265.5277640768
34,2013-01-18,925126.2966820734
35,2012-11-02,790653.4840596423
35,2012-11-09,911986.0143364072
35,2012-11-16,869721.177777415
35,2012-11-23,1494007.698355549
35,2012-11-30,967811.9589306195
35,2012-12-07,1041663.8686724851
35,2012-12-14,1172454.5818442262
35,2012-12-21,1475779.9595444377
35,2012-12-28,1034941.9789837726
35,2013-01-04,705000.3518318115
35,2013-01-11,646798.0341672882
35,2013-01-18,635145.7827668003
36,2012-11-02,268994.19320505665
36,2012-11-09,280977.21638673847
36,2012-11-16,265754.70948123117
36,2012-11-23,334314.1901902274
36,2012-11-30,259029.86390033556
36,2012-12-07,270689.4462938074
36,2012-12-14,293436.7015859587
36,2012-12-21,314309.8904598347
36,2012-12-28,239310.1908621517
36,2013-01-04,287712.56971594924
36,2013-01-11,281029.5342767143
36,2013-01-18,271610.43606717704
37,2012-11-02,549110.0220243894
37,2012-11-09,527621.3333924754
37,2012-11-16,528495.6874525389
37,2012-11-23,544704.7585414835
37,2012-11-30,503480.1982489381
37,2012-12-07,540152.5089771879
37,2012-12-14,536753.7149226987
37,2012-12-21,635383.5484729335
37,2012-12-28,466944.81101848336
37,2013-01-04,561579.822025673
37,2013-01-11,544027.4595943665
37,2013-01-18,530210.1128757077
38,2012-11-02,480192.53529326606
38,2012-11-09,471844.7160867925
38,2012-11-16,460784.004536038
38,2012-11-23,461326.9045157855
38,2012-11-30,444557.8689488324
38,2012-12-07,475262.5485838497
38,2012-12-14,459062.2088366282
38,2012-12-21,503432.27382597013
38,2012-12-28,386820.59521587606
38,2013-01-04,505199.137935386
38,2013-01-11,473544.8981526311
38,2013-01-18,450946.5708878575
39,2012-11-02,1692449.3561892956
39,2012-11-09,1665461.5184996051
39,2012-11-16,1677644.4453786414
39,2012-11-23,2558829.961005463
39,2012-11-30,1925565.3679481042
39,2012-12-07,1981024.7800340343
39,2012-12-14,2137291.089704199
39,2012-12-21,2744740.592557396
39,2012-12-28,1782802.4437158043
39,2013-01-04,1664047.8072960898
39,2013-01-11,1461775.9331712835
39,2013-01-18,1499228.6987022187
40,2012-11-02,1043710.0251321605
40,2012-11-09,1035209.4130670606
40,2012-11-16,980953.3826523541
40,2012-11-23,1307653.321778602
40,2012-11-30,1073337.129768739
40,2012-12-07,1199422.924525393
40,2012-12-14,1233333.5950063867
40,2012-12-21,1532144.3114561725
40,2012-12-28,1022776.9365650392
40,2013-01-04,952181.2773997202
40,2013-01-11,805778.393283274
40,2013-01-18,796947.0014392203
41,2012-11-02,1425795.0839599408
41,2012-11-09,1395156.1356368498
41,2012-11-16,1361355.5263149145
41,2012-11-23,1959574.2460521995
41,2012-11-30,1467579.591738605
41,2012-12-07,1621161.017486829
41,2012-12-14,1775804.891425613
41,2012-12-21,2303078.3299562726
41,2012-12-28,1434217.7749781548
41,2013-01-04,1311971.9157923264
41,2013-01-11,1221472.354732346
41,2013-01-18,1189814.771496816
42,2012-11-02,592650.8143535426
42,2012-11-09,624864.3115423825
42,2012-11-16,619592.7428261512
42,2012-11-23,664929.5381760922
42,2012-11-30,534566.6006929615
42,2012-12-07,638269.3300460435
42,2012-12-14,612126.589132972
42,2012-12-21,612781.6627512894
42,2012-12-28,442848.6411702443
42,2013-01-04,617461.5082434433
42,2013-01-11,649703.3081970733
42,2013-01-18,593724.9094928376
43,2012-11-02,624252.1429445697
43,2012-11-09,622516.2435580316
43,2012-11-16,631425.12618065
43,2012-11-23,672080.93915254
43,2012-11-30,560895.7865847608
43,2012-12-07,619854.2851035501
43,2012-12-14,645618.5389706235
43,2012-12-21,679787.0574779911
43,2012-12-28,493954.44149471
43,2013-01-04,647183.4088085929
43,2013-01-11,633938.2477002605
43,2013-01-18,605568.2245657842
44,2012-11-02,344733.4309316213
44,2012-11-09,344775.11635926075
44,2012-11-16,342802.4467970539
44,2012-11-23,350035.547517121
44,2012-11-30,316236.34102498676
44,2012-12-07,333501.8779025475
44,2012-12-14,342962.8994798946
44,2012-12-21,415804.2902704874
44,2012-12-28,290567.7298342898
44,2013-01-04,353079.65188238735
44,2013-01-11,338322.6121374131
44,2013-01-18,341788.6144058132
45,2012-11-02,835178.7818261686
45,2012-11-09,805884.9703936954
45,2012-11-16,810929.5487663227
45,2012-11-23,1183504.8662175764
45,2012-11-30,897658.6411508013
45,2012-12-07,957290.6266186206
45,2012-12-14,1062268.641513447
45,2012-12-21,1440761.6633061285
45,2012-12-28,924178.0778398884
45,2013-01-04,729195.729988106
45,2013-01-11,673741.8676930937
45,2013-01-18,677470.9045672703
